Werk;Fassung;Titel;TitleSort;Opus;Untertitel;Komponist;Textdichter;Bearbeiter;Tonart;Tongeschlecht;Taktzähler;Takteinheit;common;Verlag;Quellart;PlattenNrDipl;PlattenNr;Datierung;Widmung;Internal;Bemerkungen;perfHinweis;Tempo;Höhe;Breite;Seiten;Stecherei;Besetzung;Quellart;Folii;Pagina
baudi-02-bb950269;;Möchte gerne ziehen.;Möchte gerne ziehen;14;;Ludwig Baumann;C. Sieveking;;f;major;3;4;;Hugo Kuntz, Karlsruhe i/B.;muspr;H. 18 K.;18;;Dem »Liederkranz Bruchsal« und seinem, verdienstvollen Vorstande, Herrn Albert Hamminger, gewidmet.;CMVS-HK-1;Seite 2 mit Text;;Bewegt, doch nicht schnell.;270;170;3;F. M. Geidel, Leipzig;T,T,B,B;;3;arabic
baudi-02-35443acf;;Grüß Gott, du Welt, du weite.;Grüß Gott, du Welt, du weite;15;;Ludwig Baumann;E. Höfer;;a;major;3;4;;Hugo Kuntz, Karlsruhe i/B.;muspr;;;;Dem Gesangverein »Liederhalle Pforzheim« und seinem verdienstvollen Musikdirektor Herrn Max Thiede gewidmet.;CMVS-HK-2;;;Schwungvoll, nicht zu schnell.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
baudi-02-b6882ce4;;Mailied.;Mailied;37;;Ludwig Baumann;Pflanz;;d;major;4;4;common;Hugo Kuntz, Karlsruhe i/B.;muspr;H. 30 K.;30;;Dem »KRAICHGAU-SÄNGERBUND«und seinem Präsidenten Herrn BRITSCH anläßlich des XVIII. Bundes- und 25. Stiftungsfestes des »Liederkranz MÜHLBACH«gewidmet.;CMVS-HK-3;;;In frischem Marschtempo.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
baudi-02-77734d31;;Bergmanns Auffahrt.;Bergmanns Auffahrt;56;;Ludwig Baumann;;;e-flat;major;4;4;common;Hochstein & Co. Heidelberg;muspr;H.& Co. 3260 H.;3260;1907;;CMVS-HK-4;Copyright 1907 Hugo Kuntz, Verlag und Eigentum von Hochstein & Co., Heidelberg;;Frisch.;270;170;2;;T,T,B,B;;2;arabic
baudi-02-8f2e2dd5;;Der Wildgraf.;Wildgraf;59;;Ludwig Baumann;Egon v. Waldow;;e-flat;major;6;8;;Hugo Kuntz, Karlsruhe i/B.;muspr;;;;;CMVS-HK-5;;;Frisch.;270;170;3;;T,T,B,B;;3;arabic
baudi-02-ea1447c8;;Durch den Wald.;Durch den Wald;63;;Ludwig Baumann;Rob. Reinick;;a;major;4;4;common;Hugo Kuntz, Karlsruhe i/B.;muspr;;;;;CMVS-HK-6;;;Heitere Bewegung, nicht zu schnell.;270;170;2;;S,A,T,B;;2;arabic
baudi-02-6a4b4715;;Das Strumpfbanderl.;Strumpfbanderl;64;;Ludwig Baumann;Otto Hausmann;;a;major;3;4;;Hugo Kuntz, Karlsruhe i/B.;muspr;;;;;CMVS-HK-7;;;Heitere Bewegung.;270;170;1;;T,T,B,B;;1;
baudi-02-42f03bf9;;Bergliebe.;Bergliebe;66;;Ludwig Baumann;A. F. Meyer;;c;major;4;4;common;Hugo Kuntz, Karlsruhe i/B.;muspr;;;;;CMVS-HK-8;;;Nicht schnell.;270;170;1;;T,T,B,B;;1;
baudi-02-95c331b8;;Am Waldbächlein.;Am Waldbächlein;94;;Ludwig Baumann;M. Martin;;b-flat;major;4;4;common;Hugo Kuntz, Karlsruhe i/B.;muspr;H. K.51;51;1910;Dem verdienten Chormeister Herrn THEODOR ZIEGLER, Karlsruhe - Mühlburg gewidmet.;CMVS-HK-9;Copyright vermerk;;Ruhig wiegende Bewegung.;270;170;2;;T,T,B,B;;2;arabic
baudi-02-cf813e2f;;Ave Maria.;Ave Maria;95;;Ludwig Baumann;Franz Wildt;;f;major;4;4;common;Hugo Kuntz, Karlsruhe i/B.;muspr;H.K. 52;52;1910;Dem Gesangverein KONKORDIA Karlsruhe und seinem verdienten Chormeister HEINRICH LECHNER gewidmet.;CMVS-HK-10;Copyright vermerk;;Feierlich, nicht schleppen.;270;170;2;;T,T,B,B;;1;
baudi-02-5bf993e5;;Ich hört ein Sichlein rauschen.;Ich hört ein Sichlein rauschen;96a;;Volksweise;Volksweise;Ludwig Baumann;g;major;6;8;;Hugo Kuntz, Karlsruhe i/B.;muspr;H.49 K.;49;;Dem Gesangverein Liedertafel Grünwinkel und seinem verdienstvollen Dirigenten Herrn Hauptlehrer A. Maier gewidmet.;CMVS-HK-11;Mit Tenor-Solo;;Getragen.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B,T-Solo;;2;arabic
baudi-02-a090a248;;Herziges Schatzerl.;Herziges Schatzerl;96b;;Volksweise;Volksweise;Ludwig Baumann;d;major;3;4;;Hugo Kuntz, Karlsruhe i/B.;muspr;H.50 K.;50;;Herrn Musikdirektor Louis Baldas freundlichst gewidmet.;CMVS-HK-12;;;Leicht bewegt.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
baudi-02-ffbab603;;Mei Mutter mag mi net.;Mei Mutter mag mi net;96c;;Volksweise;Volksweise;Ludwig Baumann;a;major;3;4;;Hugo Kuntz, Karlsruhe i/B.;muspr;H.51 K.;51;;Herrn Musikdirektor Fassel gewidmet.;CMVS-HK-13;;;Getragen, aber nicht schleppend.;270;170;1;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
